Time(Local);Production;Consumption
01.01.2012 00:00:00 +01:00;15223;15493
01.01.2012 01:00:00 +01:00;13650;15332
01.01.2012 02:00:00 +01:00;12858;15098
01.01.2012 03:00:00 +01:00;12555;14840
01.01.2012 04:00:00 +01:00;12096;14591
01.01.2012 05:00:00 +01:00;11956;14543
01.01.2012 06:00:00 +01:00;11817;14604
01.01.2012 07:00:00 +01:00;11670;14780
01.01.2012 08:00:00 +01:00;11112;14889
01.01.2012 09:00:00 +01:00;11438;15218
01.01.2012 10:00:00 +01:00;12385;15613
01.01.2012 11:00:00 +01:00;13362;16049
01.01.2012 12:00:00 +01:00;13741;16217
01.01.2012 13:00:00 +01:00;13657;16273
01.01.2012 14:00:00 +01:00;14002;16332
01.01.2012 15:00:00 +01:00;14594;16540
01.01.2012 16:00:00 +01:00;16153;16924
01.01.2012 17:00:00 +01:00;17980;16907
01.01.2012 18:00:00 +01:00;18783;16815
01.01.2012 19:00:00 +01:00;17704;16507
01.01.2012 20:00:00 +01:00;15304;16204
01.01.2012 21:00:00 +01:00;13833;15970
01.01.2012 22:00:00 +01:00;13271;15589
01.01.2012 23:00:00 +01:00;12578;15213
02.01.2012 00:00:00 +01:00;11784;14565
02.01.2012 01:00:00 +01:00;11141;14281
02.01.2012 02:00:00 +01:00;10730;14085
02.01.2012 03:00:00 +01:00;10658;14155
02.01.2012 04:00:00 +01:00;10921;14358
02.01.2012 05:00:00 +01:00;11813;14846
02.01.2012 06:00:00 +01:00;14558;16135
02.01.2012 07:00:00 +01:00;19307;17660
02.01.2012 08:00:00 +01:00;21749;18306
02.01.2012 09:00:00 +01:00;21977;18470
02.01.2012 10:00:00 +01:00;22257;18528
02.01.2012 11:00:00 +01:00;22767;18746
02.01.2012 12:00:00 +01:00;22777;18743
02.01.2012 13:00:00 +01:00;22451;18657
02.01.2012 14:00:00 +01:00;22307;18703
02.01.2012 15:00:00 +01:00;22608;18785
02.01.2012 16:00:00 +01:00;23141;18975
02.01.2012 17:00:00 +01:00;23190;18811
02.01.2012 18:00:00 +01:00;22690;18400
02.01.2012 19:00:00 +01:00;21915;18209
02.01.2012 20:00:00 +01:00;20532;17860
02.01.2012 21:00:00 +01:00;19195;17414
02.01.2012 22:00:00 +01:00;17890;16809
02.01.2012 23:00:00 +01:00;14986;15848
03.01.2012 00:00:00 +01:00;13519;15306
03.01.2012 01:00:00 +01:00;11874;14946
03.01.2012 02:00:00 +01:00;11284;14740
03.01.2012 03:00:00 +01:00;11256;14792
03.01.2012 04:00:00 +01:00;11576;14882
03.01.2012 05:00:00 +01:00;13700;15458
03.01.2012 06:00:00 +01:00;17712;16788
03.01.2012 07:00:00 +01:00;20515;18271
03.01.2012 08:00:00 +01:00;21404;18890
03.01.2012 09:00:00 +01:00;20857;18635
03.01.2012 10:00:00 +01:00;21133;18753
03.01.2012 11:00:00 +01:00;21346;18855
03.01.2012 12:00:00 +01:00;21413;18836
03.01.2012 13:00:00 +01:00;21462;18892
03.01.2012 14:00:00 +01:00;21506;19127
03.01.2012 15:00:00 +01:00;22057;19319
03.01.2012 16:00:00 +01:00;22307;19345
03.01.2012 17:00:00 +01:00;22185;19012
03.01.2012 18:00:00 +01:00;21386;18563
03.01.2012 19:00:00 +01:00;20507;18271
03.01.2012 20:00:00 +01:00;18923;17846
03.01.2012 21:00:00 +01:00;16314;17300
03.01.2012 22:00:00 +01:00;14389;16639
03.01.2012 23:00:00 +01:00;13279;15884
04.01.2012 00:00:00 +01:00;12353;15141
04.01.2012 01:00:00 +01:00;11876;14726
04.01.2012 02:00:00 +01:00;11764;14541
04.01.2012 03:00:00 +01:00;11751;14544
04.01.2012 04:00:00 +01:00;11944;14773
04.01.2012 05:00:00 +01:00;12360;15252
04.01.2012 06:00:00 +01:00;14751;16375
04.01.2012 07:00:00 +01:00;19229;18323
04.01.2012 08:00:00 +01:00;20531;18757
04.01.2012 09:00:00 +01:00;20249;18591
04.01.2012 10:00:00 +01:00;20976;18564
04.01.2012 11:00:00 +01:00;21135;18411
04.01.2012 12:00:00 +01:00;20497;18190
04.01.2012 13:00:00 +01:00;20645;18254
04.01.2012 14:00:00 +01:00;21065;18271
04.01.2012 15:00:00 +01:00;21458;18530
04.01.2012 16:00:00 +01:00;22389;18939
04.01.2012 17:00:00 +01:00;22578;18813
04.01.2012 18:00:00 +01:00;22083;18525
04.01.2012 19:00:00 +01:00;21150;18376
